,,,2021_05_25,,,,,,,,,2021_06_09,,,,,,,,,2021_06_23,,,,,,,,,2021_07_08,,,,,,,,,2021_07_19,,,,,,,,,,,,
,,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,,,,
T1,R2,V1N0,0.091730975,0.15216482,52.311,2.8840983,0.10108449,21.282324,25.578465,18.822323,,0.11641177,0.36467057,55.98009,2.1079412,0.25467646,23.95641,30.417822,14.141441,,0.13972741,0.31350487,52.43253,2.208629,0.26675808,21.992405,29.223177,15.268418,,0.16465189,0.44897112,45.930283,1.836404,0.4062885,23.128286,32.361115,12.284504,,0.13655819,0.3334982,46.04436,2.1303272,0.24709089,22.504978,29.673363,14.828145,,,,,
T2,R2,V1N1,0.10784966,0.1902537,60.280167,2.6765559,0.1392591,21.27949,26.434584,17.983263,,0.30792177,0.6983261,45.795475,1.3708696,1.9288696,20.294176,38.35974,6.79213,,0.2490772,0.71220416,47.172268,1.3591284,1.0434426,23.226543,38.782616,6.4863143,,0.18083517,0.64913887,40.736874,1.462426,0.54903704,25.693014,37.139797,7.875332,,0.18198642,0.5454102,53.261322,1.6282883,0.50369483,23.888863,34.583218,10.160289,,,,,
T3,R2,V1N2,0.07312499,0.16659753,48.8973,2.879962,0.07802502,22.442411,25.903675,18.50436,,0.22495294,0.55928236,48.10851,1.6307942,0.8158823,21.975733,34.93971,9.854675,,0.2088828,0.561538,55.42502,1.6240348,0.6944137,22.782381,35.031055,9.80507,,0.22940569,0.7042358,45.670982,1.3792075,1.0484717,24.285547,39.014423,6.6618295,,0.16959813,0.52858484,44.634495,1.6741887,0.4340377,24.232824,34.198177,10.530847,,,,,
T4,R2,V1N3,0.10135383,0.19133079,44.440258,2.7234104,0.18235898,21.595951,26.46413,17.959614,,0.14840001,0.27284166,48.7382,2.358771,0.27675,20.929773,28.301414,16.16421,,0.33809555,0.882994,39.933716,1.1245823,2.1470594,21.741821,43.8975,2.7243285,,0.25660637,0.83772075,38.65135,1.1779046,1.1816506,25.038078,42.22088,3.7217143,,0.19053999,0.6472599,45.064075,1.4439468,0.5778933,25.18231,37.005497,7.9167204,,,,,
T5,R2,V1N4,0.08093971,0.22265446,48.76737,2.521265,0.10238236,23.134825,27.163897,17.269588,,0.08221818,0.2272309,73.85711,NaN,0.161,23.003313,27.289948,17.168926,,0.17343538,0.40083992,59.967693,1.9605078,0.44649237,21.892675,31.231016,13.344694,,0.21210244,0.6747684,47.403923,1.399439,0.7132195,24.51612,37.699875,7.3107805,,0.15709637,0.40237632,49.27108,1.9391639,0.3337455,22.744314,31.253578,13.310746,,,,,
T6,R2,V1N5,0.09145455,0.15303862,41.697384,2.877523,0.10102273,21.31266,25.598112,18.803022,,0.11882082,0.21224166,57.069256,2.564625,0.16720831,21.200293,26.929039,17.499207,,0.20257172,0.53146744,57.96587,1.7281305,0.7051304,22.528458,34.430634,10.467521,,0.25238577,0.82752854,39.75414,1.190119,1.1394761,25.084618,41.8791,3.9458807,,0.18922833,0.5401322,47.797283,1.6735474,0.5618301,23.404997,34.53964,10.27649,,,,,
T7,R2,V2N0,0.08802112,0.16980845,52.076923,2.7883244,0.106098585,21.784761,25.97524,18.433535,,0.11682579,0.26509836,56.266678,2.4408872,0.20004839,22.152515,28.136919,16.334694,,0.18713394,0.47683042,56.79114,1.7626784,0.50374997,22.521587,32.977448,11.6708765,,0.16220425,0.4457064,53.14075,1.8288932,0.368383,23.202831,32.244488,12.356467,,0.16021456,0.4181254,50.543533,1.9120182,0.35814548,22.820341,31.611761,12.963892,,,,,
T8,R2,V2N1,0.0737619,0.16019765,50.07451,NaN,0.091333345,22.266642,25.76093,18.645212,,0.20458852,0.53352624,72.98636,1.6838033,0.7878197,22.528505,34.38103,10.422001,,0.25468835,0.73127854,47.423286,1.3248832,1.0816001,23.239552,39.203106,6.066084,,0.15387413,0.49270338,47.471806,1.7697762,0.3661552,24.359724,33.38826,11.321328,,0.17512666,0.53324664,45.99045,1.6826671,0.47728327,23.969538,34.34052,10.428267,,,,,
T9,R2,V2N2,0.089465804,0.17357369,48.184048,2.7915523,0.11557894,21.862581,26.06042,18.350737,,0.12091267,0.2086778,57.66448,2.7027295,0.20999998,20.956684,26.862234,17.577557,,0.23018573,0.58505905,55.383087,1.5682142,0.8534643,22.14559,35.580856,9.287001,,0.18857814,0.5587728,49.462265,1.5956182,0.53205454,23.800508,34.88212,9.865819,,0.15550943,0.40633598,49.48783,1.9384717,0.33596224,22.851564,31.340982,13.223701,,,,,
T10,R2,V2N3,0.09744783,0.18610147,55.38207,2.721189,0.13123192,21.675032,26.342321,18.074692,,0.20255665,0.41361332,64.1282,1.9517998,0.59126663,20.789602,31.526937,13.063198,,0.23645082,0.580518,50.00797,1.620672,0.9814262,21.70992,35.51861,9.387114,,0.17533919,0.60248834,44.05006,1.5636469,0.49468628,25.171648,35.99298,8.902981,,0.15416071,0.43018046,48.83048,1.9014463,0.34269643,23.31477,31.899658,12.698518,,,,,
